Match Number,Runs,Wkts,Conc,Ct,St,Opposition,Ground,Start Date,ODI Number,
148,2,0,13,1,0,v Sri Lanka,Wankhede,17-May-97,ODI # 1207,
149,4,2,61,0,0,v Pakistan,Chennai,21-May-97,ODI # 1209,
150,21,0,6,0,0,v Sri Lanka,Colombo (RPS),18-Jul-97,ODI # 1218,
151,TDNB,-,-,0,0,v Pakistan,Colombo (SSC),20-Jul-97,ODI # 1219,
152,28,1,18,0,0,v Bangladesh,Colombo (SSC),24-Jul-97,ODI # 1221,
153,53,0,20,0,0,v Sri Lanka,Colombo (RPS),26-Jul-97,ODI # 1222,
154,27,0,28,0,0,v Sri Lanka,Colombo (RPS),17-Aug-97,ODI # 1223,
155,6,-,-,1,0,v Sri Lanka,Colombo (RPS),20-Aug-97,ODI # 1224,
156,27,-,-,0,0,v Sri Lanka,Colombo (SSC),23-Aug-97,ODI # 1225,
157,39,1,22,2,0,v Sri Lanka,Colombo (SSC),24-Aug-97,ODI # 1226,
158,17,0,13,0,0,v Pakistan,Toronto,13-Sep-97,ODI # 1227,
159,25*,-,-,0,0,v Pakistan,Toronto,14-Sep-97,ODI # 1228,
160,TDNB,0,17,0,0,v Pakistan,Toronto,17-Sep-97,ODI # 1229,
